;origin;shrub_cov;herb_cov;kryp_cov;litter_cov;open_cov;WHC [%vol];WHC [weigth%];P;pH_H2O;pH_CaCl;con;C_com;N_com;C/N;L;F;R;N;MV;WV;TV;FW
HW00_1_4;Forest;1;40;15;35;10;15.68;11.89861891;25.17;5.8;4.6;24;11.4;0.7;16.28571429;5.191209217;2.704058231;4.600837822;2.217137551;7.038583175;5.924731183;5.273244782;5.576850095
HW00_1_5;Forest;1;40;30;20;15;12.23;9.890820865;37.05;5.8;5.3;64;10.15;0.5;20.3;6.494314058;4.017393435;5.780494431;3.981617647;6.183303085;5.184210526;5.184210526;6.364791289
HW87_1_1;Forest;1;25;30;80;15;31;32.4369572;68.75;6;5.2;64;64.9;2.45;26.46153846;4.704311029;5.1922968;6.086522463;6.370323798;8;5;5;2
HW87_1_2;Forest;2;25;60;15;10;39.88;30.67692308;55.08;5.8;5.1;47;24.65;1.3;18.94642857;4.684598103;4.45574334;6.705882353;5.87054735;5.998060136;4.803103783;4.948593598;2.533462658
HW87_1_3;Forest;0;50;65;20;5;35.51;24.71464365;25.66;5.6;4.8;25;22.6;1.25;18.09615385;4.210674157;4.830667921;5.809278351;6.030737705;5.333333333;5;3.333333333;2.333333333
HW87_1_4;Forest;5;45;55;40;0;38.27;27.02492762;24.89;6.5;4.8;49;21.8;1;21.80808081;4.703539823;5.084367246;5.331114809;6.273927393;6;3.5;4;2.5
HW87_1_5;Forest;0;15;30;95;2;39.76;33.02874232;118.8;6.6;5.1;39;20.35;1.05;19.39090909;4.806379267;4.785455487;6.239775726;5.862164662;5.02970297;3.514851485;4.00990099;4.475247525
KA11_2_1;Arable field;0;80;80;70;20;36.74;26.18487635;45.52;6.1;4.4;17;8.2;0.6;13.66666667;6.372190259;4.077169498;5.021765128;4.544640908;6.814508145;4.378903789;5.077130771;5.427504275
KA11_2_2;Arable field;0;85;75;65;10;40.46;29.33584687;48.09;6.2;4.4;19;7.35;0.55;13.45;6.344269466;4.059669303;4.254520167;3.772665765;6.842931937;4.709424084;5.25;5.428010471
KA11_2_3;Arable field;0;75;90;80;5;38.65;31.87103158;28.75;5.7;4.7;20;10.65;0.8;13.4047619;6.048525272;3.916109077;5.23016565;3.86120948;6.321565011;4.677512844;5.178105651;5.325648795
KA11_2_4;Arable field;0;75;75;60;20;19.79;13.76504139;37.54;5.9;4.5;16;8.2;0.65;12.6547619;5.69604198;3.660453809;4.518126888;2.58925144;5.634000993;6.166859791;6.021188545;4.170501573
KA11_2_5;Arable field;0;80;15;80;10;37.63;24.17448285;57.61;5.6;5.5;41;14.2;1;14.23232323;2.60929607;1.506550218;2.105438402;1.475859713;8.372053297;6.308393122;5.596629086;6.568158524
KA11_X_1;Arable field;0;50;25;80;15;8.55;7.641433551;55.62;5.6;4.6;19;23.7;1.65;14.35477941;6.643586412;3.649439339;4.118610747;2.637017071;5.514008764;5.552383482;5.375912893;4.927898022
KA11_X_2;Arable field;0;40;75;60;10;6.78;5.890018243;78.2;5.6;4.4;15;13.35;0.9;14.83333333;6.712749343;3.8683868;4.468806784;2.80483557;5.235118662;5.393204513;5.266113345;4.587861497
KA11_X_3;Arable field;0;65;70;70;10;13.3;10.23785698;76.32;5.7;4.3;19;25.1;2.35;10.76190476;5.789281129;3.199925098;3.97242613;2.420779883;6.113492588;5.694835237;5.184118591;4.943159286
KA11_X_4;Arable field;0;70;50;80;20;2.37;3.463899445;54.07;5.5;4.3;22;25.1;1.95;12.86973684;4.407010014;1.489203276;1.915448852;0.741758242;7.364130435;6.641304348;5.956521739;5.722826087
KA11_X_5;Arable field;0;50;35;45;30;20.65;15.29856275;85.27;6.4;4.6;14;21.15;1.6;13.21825397;6.7448419;2.73184995;4.354565612;1.704909692;5.346938776;6.131519274;5.920634921;4.358276644
KA87_X_1;Arable field;0;80;65;60;5;10.95;11.81102362;56.19;5.5;4.8;37;37.2;2.8;13.28571429;4.550834598;2.783513097;3.956086287;0.454545455;8.5;6.880952381;5.94047619;6.619047619
KA87_X_2;Arable field;0;75;70;80;0;8.09;7.599812118;66.07;5.4;4.4;28;35.3;2.6;13.58630952;4.545836095;2.8163052;3.545994065;1.504145667;7.881700555;6.260628466;5.613678373;6.562426483
KA87_X_3;Arable field;0;80;80;70;2;14.3;10.3286385;52.24;5.1;4.2;23;19.3;1.3;14.84615385;4.768403639;3.078018996;3.614457831;1.366022099;6.994475138;6.421270718;5.903314917;5.494475138
KA87_X_4;Arable field;0;50;80;95;0;8.01;8.280781557;37.68;5.9;5;20;21.05;1.45;14.52857143;3.775870661;2.885984196;3.126330687;0.815234053;7.872267229;6.62456997;5.914326934;6.198757075
KA87_X_5;Arable field;0;70;65;50;2;4.09;4.061569017;47.24;6;4.4;19;13.3;4.5;7.65625;6.457248002;3.753238742;5.506075334;3.079016353;5.60239731;5.558251718;5.465867563;4.536617454
KG11_2_1;Shrublands;0;50;25;30;15;8.57;6.132379249;10.17;6.4;4.3;9;10.35;0.6;17.25;7.187634795;3.783982366;4.377245509;2.448096886;4.355263158;6.736842105;6.703947368;3.184210526
KG11_2_2;Shrublands;0;50;40;70;20;8.67;6.395691945;15.38;5.8;4.2;9;10.25;0.4;25.625;6.741742276;3.67611026;3.972088547;2.501547509;5.927085096;5.867873456;5.718998477;4.537810861
KG11_2_3;Shrublands;0;40;25;90;10;22.18;16.7358334;39.89;6.2;4.9;14;10.3;0.65;15.86904762;6.633755744;3.710401684;4.55125952;2.701425503;5.647401538;5.128408296;5.27522722;4.473083197
KG11_2_4;Shrublands;0;60;15;80;20;8.04;7.23151646;12.68;6.1;4.1;12;9.05;0.6;15.08333333;4.786494414;1.334534968;2.542388981;1.527315914;6.881235154;6.194774347;5.70783848;5.662707838
KG11_2_5;Shrublands;0;70;45;70;5;7.4;6.334531758;19.44;5.7;4.5;15;15;1;15;5.640139638;4.063725933;3.230242192;2.735320892;5.668067227;5.598039216;5.481792717;4.927170868
KG87_1_1;Shrublands;0;80;10;30;20;47.9;37.59516521;24.78;6.8;5.1;40;15.9;1.35;11.76098901;7.256338985;4.832330755;7.039502949;4.49329558;5.228228228;3.846971972;3.437812813;3.403403403
KG87_1_2;Shrublands;0;60;40;70;30;47.07;33.70086633;8.06;5.8;5;49;16.85;1.3;12.96153846;6.825523334;5.177845799;6.470450281;5.630062778;7.1381771;5.151800195;4.967239702;5.125527084
KG87_1_3;Shrublands;0;90;45;15;30;54.07;43.10427296;9.92;5.7;5.2;43;17.5;1.5;11.67857143;7.202525173;3.750479679;6.855448331;3.372209058;5.758962624;4.337147216;4.348588863;5.577421815
KG87_1_4;Shrublands;0;95;75;20;0;48.55;39.72344952;10.08;5.8;5.2;51;17.05;1.25;13.6474359;7.353221584;5.69441769;6.686755521;4.461420622;6.92611336;3.822874494;4.025303644;5.050607287
KG87_1_5;Shrublands;0;80;60;35;20;57.84;65.98220397;11.89;6.2;4.8;48;15.6;1;15.6;6.852823912;4.777030173;6.283452486;3.999723706;6.1884273;4.225519288;4.277448071;5.90652819
